state,value
Alabama,38954
Alaska,74283
Arizona,40716
Arkansas,37769
California,58015
Colorado,53607
Connecticut,67062
Delaware,64048
District of Columbia,173236
Florida,40080
Georgia,45198
Hawaii,52737
Idaho,37127
Illinois,56179
Indiana,46270
Iowa,50641
Kansas,48559
Kentucky,40726
Louisiana,49003
Maine,39531
Maryland,56542
Massachusetts,66260
Michigan,42803
Minnesota,55532
Mississippi,33332
Missouri,45012
Montana,41866
Nebraska,56308
Nevada,46192
New Hampshire,51870
New Jersey,59078
New Mexico,41335
New York,67215
North Carolina,45244
North Dakota,72757
Ohio,47579
Oklahoma,46092
Oregon,44815
Pennsylvania,50977
Rhode Island,49364
South Carolina,37560
South Dakota,51767
Tennessee,44168
Texas,55573
Utah,45516
Vermont,45510
Virginia,54108
Washington,59047
West Virginia,37844
Wisconsin,48142
Wyoming,66144
