state,value
Alabama,39014
Alaska,72943
Arizona,41008
Arkansas,38229
California,62347
Colorado,56708
Connecticut,67710
Delaware,69976
District of Columbia,173621
Florida,41491
Georgia,47301
Hawaii,54261
Idaho,38206
Illinois,57875
Indiana,47153
Iowa,54261
Kansas,50240
Kentucky,40968
Louisiana,49832
Maine,40483
Maryland,57666
Massachusetts,69326
Michigan,44549
Minnesota,57106
Mississippi,33541
Missouri,45572
Montana,43543
Nebraska,58327
Nevada,47210
New Hampshire,53515
New Jersey,60343
New Mexico,43632
New York,69790
North Carolina,46793
North Dakota,72812
Ohio,49959
Oklahoma,50105
Oregon,47798
Pennsylvania,53281
Rhode Island,50273
South Carolina,38816
South Dakota,53216
Tennessee,45759
Texas,58077
Utah,47512
Vermont,46236
Virginia,54401
Washington,62025
West Virginia,37873
Wisconsin,49843
Wyoming,67825
